model,mae_delta_mean,mae_delta_std,mae_pa_mean,mae_pa_std,n_features_mean
CatBoost,6.7704,0.5588,6.7704,0.5588,19.0
VotingEnsemble,6.7781,0.678,6.7781,0.678,19.0
ExtraTrees,6.8452,0.5772,6.8452,0.5772,19.0
LightGBM,6.9385,0.7616,6.9385,0.7616,19.0
RandomForest,6.9481,0.5805,6.9481,0.5805,19.0
GradientBoosting,7.0376,0.519,7.0376,0.519,19.0
XGBoost,7.0577,0.7592,7.0577,0.7592,19.0
BayesianRidge,7.3087,0.3135,7.3087,0.3135,19.0
Ridge,7.3202,0.2948,7.3202,0.2948,19.0
Lasso,7.443,0.513,7.443,0.513,19.0
AdaBoost,7.5515,0.4849,7.5515,0.4849,19.0
ElasticNet,7.7821,0.6298,7.7821,0.6298,19.0
MLP,8.2303,0.8192,8.2303,0.8192,19.0
SVR,8.388,0.6013,8.388,0.6013,19.0
DecisionTree,9.6736,0.6879,9.6736,0.6879,19.0
