fold,fraction,n_train,n_features,mae_train,mae_test
0,0.1,92,62,2.415217784222596e-14,4.502435466753246
0,0.2,184,45,2.5173100319218222e-14,4.078526532588742
0,0.4,369,116,2.2647947955456376e-14,3.8162265936493482
0,0.6,554,135,2.3733922969748472e-14,3.3147987183246763
0,0.8,739,216,2.4151181731081314e-14,2.979569274792206
0,1.0,924,297,2.3272629614680365e-14,2.8827274465757564
1,0.1,92,117,2.264372264572439e-14,4.777319098380954
1,0.2,184,106,2.2862146958177815e-14,3.982021789523811
1,0.4,369,40,2.345067831580866e-14,3.748262312835499
1,0.6,554,146,2.2868590294598397e-14,3.386249914844156
1,0.8,739,175,2.2810801511094083e-14,3.27398037616883
1,1.0,924,311,2.332237337357591e-14,2.6387300728268417
2,0.1,92,136,2.1055621014847533e-14,4.471687094588744
2,0.2,184,83,2.2793361401217346e-14,4.433642771800864
2,0.4,369,85,2.197399143102268e-14,3.8578469566320326
2,0.6,554,152,2.2541535425250335e-14,3.593867965437231
2,0.8,739,185,2.272306534784901e-14,3.4378443552034637
2,1.0,924,150,2.25836665385764e-14,3.232034545277055
3,0.1,92,166,1.965094753586527e-14,4.312882628367965
3,0.2,184,20,2.2929725750981088e-14,4.301725115021645
3,0.4,369,154,2.2984324470776412e-14,3.2135250774242428
3,0.6,554,177,2.2644541676993536e-14,2.832596716142856
3,0.8,739,133,2.3027137256081935e-14,2.517435691428571
3,1.0,924,275,2.3025112360272593e-14,2.498582879116883
4,0.1,92,155,2.0280878425924326e-14,4.606502926004329
4,0.2,184,57,2.3309856460499483e-14,4.292680665341989
4,0.4,369,89,2.4694489151526924e-14,3.539406331757577
4,0.6,554,171,2.2574401233199528e-14,3.0557305629437237
4,0.8,739,249,2.368756221091985e-14,3.1844319688138527
4,1.0,924,262,2.3656401513019406e-14,3.198651255909091
